Zip,Unemp. Rate,# in sample
3856,0.03,1324
3857,0.03,7226
3858,0.06,3574
3860,0.02,3250
3861,0.06,3492
3862,0.03,3437
3864,0.07,1386
3865,0.06,6006
3867,0.06,16869
3868,0.03,4586
3869,0.09,2007
3870,0.04,4567
3871,0.00,39
3872,0.06,3320
3873,0.06,4193
3874,0.04,7618
3875,0.04,786
3878,0.06,9471
3882,0.11,1218
3883,0.00,76
3884,0.05,2969
3885,0.04,5523
3886,0.03,1649
3887,0.06,1741
3890,0.34,268
3894,0.06,5273
3901,0.08,5741
3902,0.05,1655
3903,0.05,4922
3904,0.05,6783
3905,0.03,1334
3906,0.04,3764
3907,0.03,1029
3908,0.07,5501
3909,0.06,8463
3910,0.00,103
3911,0.85,222
4001,0.13,1868
4002,0.06,5833
4003,0.10,566
4005,0.08,19124
4006,0.00,23
4008,0.03,2234
4009,0.06,4415
4010,0.11,1030
4011,0.07,17235
4015,0.10,3010
4017,0.04,243
4019,0.00,15
4020,0.09,1275
4021,0.07,4470
4022,0.08,870
4024,0.05,516
4027,0.06,4702
4029,0.04,1375
4030,0.13,1784
4032,0.03,6216
4037,0.11,3114
4038,0.05,12978
4039,0.03,5867
4040,0.08,2522
4041,0.09,1281
4042,0.08,3311
4043,0.05,8995
4046,0.05,6039
4047,0.07,1371
4048,0.16,2119
4049,0.07,2937
4050,0.01,309
4051,0.11,863
4055,0.04,3048
4056,0.21,113
4057,,9
4061,0.05,2518
4062,0.03,13184
4063,0.00,251
4064,0.08,7311
4066,0.07,344
4068,0.05,1288
4069,0.04,1116
4071,0.05,4324
4072,0.05,14979
4073,0.07,12841
4074,0.05,14694
4076,0.08,2144
4079,0.09,3100
4083,0.14,3893
4084,0.07,6810
4085,0.05,1285
4086,0.05,7365
4087,0.03,1602
4088,0.11,1919
4090,0.04,8169
4091,0.05,763
4092,0.06,14034
4093,0.06,6422
4095,0.07,1016
4096,0.04,6619
4097,0.06,2666
4101,0.08,15583
4102,0.06,14156
4103,0.05,25685
4105,0.04,8825
4106,0.04,20085
4107,0.05,7090
4108,0.04,835
4109,0.08,100
4110,0.05,940
4210,0.08,18492
4216,0.01,440
4217,0.15,2477
4219,0.14,1143
4220,0.10,2242
4221,0.10,984
4222,0.07,2992
4224,0.09,2344
4226,0.00,126
4227,0.00,26
4228,0.00,19
4231,0.04,162
4234,,34
4236,0.07,3559
4237,0.03,132
4238,0.03,1032
4239,0.07,3701
4240,0.10,29698
4250,0.05,3353
4252,0.08,3975
4253,0.11,1723
4254,0.10,2474
4255,0.11,701
4256,0.11,2446
4257,0.11,2214
4258,0.07,1982
4259,0.09,2432
4260,0.08,4240
4261,0.02,357
4263,0.04,1723
4265,0.25,796
4267,0.00,47
4268,0.17,4216
4270,0.09,4786
4271,,0
4274,0.09,4375
4275,0.06,407
4276,0.13,4964
4280,0.07,5336
4281,0.13,4273
4282,0.10,4375
4284,0.03,861
4285,0.08,378
4286,0.00,100
4287,0.04,2350
4289,0.12,1570
4290,0.06,1285
4292,0.11,718
4294,0.12,3339
4330,0.08,21692
4342,0.07,1581
4343,0.00,72
4344,0.05,2137
4345,0.08,9593
4346,0.03,1705
4347,0.06,2194
4348,0.06,2452
4349,0.06,986
4350,0.07,2803
4351,0.05,2124
4352,0.02,1220
4353,0.09,2026
4354,0.08,1215
4355,0.07,1966
4357,0.05,2870
4358,0.05,3443
4359,0.00,386
4360,0.12,508
4363,0.06,2089
4364,0.05,4854
4401,0.06,37189
4406,0.05,573
4408,0.03,96
4410,0.08,830
4411,0.03,1091
4412,0.06,7998
4413,0.25,148
4414,0.09,1141
4415,0.00,117
4416,0.07,4471
4417,0.17,344
4418,0.20,1316
4419,0.05,2236
4421,0.07,1508
4422,0.03,1217
4424,0.15,781
4426,0.06,3953
4427,0.10,2122
4428,0.07,2604
4429,0.06,3949
4430,0.06,1559
4431,0.00,66
4434,0.08,981
4435,0.07,893
4438,0.10,1000
4441,0.08,1674
4442,0.00,71
4443,0.06,2138
4444,0.04,6907
4448,0.07,1087
4449,0.06,1088
4450,0.04,943
4451,0.08,228
4453,0.10,563
4454,0.13,56
4455,0.19,818
4456,0.05,2092
4457,0.07,4460
4459,0.16,976
4460,0.14,1158
4461,0.10,2583
4462,0.09,4255
4463,0.10,2191
4464,0.06,550
4468,0.09,7917
4469,0.08,2642
4471,0.20,452
4472,0.08,1723
4473,0.06,6815
4474,0.04,3028
4475,0.10,439
4476,0.02,953
4478,0.04,249
4479,0.07,1223
4481,0.08,451
4485,0.05,231
4487,0.16,702
4488,0.07,976
4489,0.00,184
4490,0.21,215
4491,0.00,102
4492,0.07,120
4493,0.10,1534
4495,0.07,337
4496,0.05,2919
4497,0.10,332
4530,0.06,9017
4535,0.07,481
4537,0.02,1629
4538,0.07,1882
4539,0.03,1051
4541,0.00,62
4543,0.09,1705
4544,0.00,675
4547,0.05,976
4548,0.00,709
4551,0.05,665
4553,0.05,1390
4554,0.00,625
4555,0.02,1317
4556,0.07,898
4558,0.13,244
4562,0.03,1967
4563,0.05,1076
4564,0.00,476
4568,0.06,470
4570,,0
4571,0.00,364
4572,0.09,4198
4573,0.11,365
4574,0.05,1189
4575,0.00,134
4576,0.04,498
4578,0.07,3734
4579,0.06,2377
4605,0.10,10454
4606,0.09,984
4607,0.08,861
4609,0.05,4433
4611,0.08,430
4612,0.13,500
4613,0.36,129
4614,0.07,2173
4616,0.02,834
4617,0.05,785
4619,0.05,2615
4622,0.10,1062
4623,0.15,868
4624,0.00,164
4625,0.12,31
4626,0.07,418
4627,0.05,1477
4628,0.12,548
4629,0.00,77
4630,0.05,1093
4631,0.11,1161
4634,0.13,1639
4635,0.00,35
4637,0.00,150
4640,0.10,1833
4642,0.00,78
4643,0.13,877
4644,0.00,176
4645,0.09,70
4646,0.19,57
4648,0.08,451
4649,0.10,1186
4650,0.23,207
4652,0.10,1486
4653,0.02,445
4654,0.10,2850
4655,0.04,991
4657,0.10,314
4658,0.15,1143
4660,0.00,1006
4662,0.02,348
4664,0.07,1054
4666,0.13,1068
4667,0.20,1146
4668,0.19,1266
4669,0.00,174
4671,0.11,486
4673,0.14,123
4674,0.14,493
4675,0.00,266
4676,0.07,800
4677,0.07,212
4679,0.05,1486
4680,0.10,847
4681,0.02,948
4683,0.00,53
4684,0.04,1335
4685,0.08,351
4686,0.00,65
4691,0.11,409
4693,0.04,398
4694,0.11,1895
4730,0.08,8276
4732,0.11,1391
4733,0.21,157
4734,0.10,599
4735,0.08,591
4736,0.06,7938
4739,0.03,852
4740,0.05,939
4741,,0
4742,0.10,2936
4743,0.04,3790
4745,0.05,963
4746,0.05,414
4747,0.12,1166
4750,0.06,2317
4756,0.02,2993
4757,0.07,2260
4758,0.10,1293
4760,0.08,528
4761,0.05,471
4762,0.09,453
4763,0.14,568
4764,0.00,46
4765,0.08,1164
4766,0.05,307
4768,0.05,343
4769,0.05,8069
4772,0.05,692
4773,0.00,388
4774,0.22,581
4776,0.12,731
4777,0.24,359
4779,0.03,332
4780,0.09,624
4781,0.05,480
4783,0.08,350
4785,0.06,2664
4786,0.05,1558
4787,0.08,407
4841,0.03,6193
4843,0.04,4293
4847,0.04,1263
4848,0.08,536
4849,0.07,2946
4851,0.00,53
4852,0.00,37
4853,0.03,385
4854,0.05,1353
4855,0.21,198
4856,0.08,2593
4858,0.02,1279
4859,0.10,533
4860,0.05,1600
4861,0.07,2195
4862,0.06,3052
4863,0.03,939
4864,0.04,3881
4901,0.11,21763
4910,0.08,1511
4911,0.09,1638
4912,0.04,880
4915,0.07,7383
4917,0.04,2313
4918,0.00,288
4920,0.15,1424
4921,0.13,1328
4922,0.10,1052
4923,0.18,470
4924,0.09,1798
4925,0.00,63
4926,0.00,46
4927,0.07,2693
4928,0.03,1801
4929,0.11,676
4930,0.14,3599
4932,0.12,929
4933,,0
4936,0.06,268
4937,0.12,5336
4938,0.07,8394
4939,0.11,862
4940,,46
4941,0.10,1382
4942,0.11,982
4943,0.08,1605
4944,,30
4945,0.04,1055
4947,0.06,1329
4949,0.12,597
4950,0.09,3896
4951,0.06,884
4952,0.08,1508
4953,0.07,2826
4955,0.09,1244
4956,0.11,595
4957,0.08,3373
4958,0.07,1612
4961,0.10,845
4962,0.00,139
4963,0.06,5790
4964,0.00,174
4965,0.10,1677
4966,0.10,1605
4967,0.10,3422
4969,0.09,1012
4970,0.07,1282
4971,0.10,1569
4973,0.14,1145
4974,0.12,2074
4975,,0
4976,0.05,8050
4978,0.07,629
4979,0.12,881
4981,0.11,1786
4982,0.30,494
4983,0.09,1440
4984,0.05,490
4985,0.00,62
4986,0.12,1366
4987,0.10,715
4988,0.11,1809
4989,0.09,3420
4992,1.00,67
5001,0.08,7752
5031,0.00,97
5032,0.06,2584
5033,0.06,2167
5034,0.00,173
5035,0.03,427
5036,0.05,760
5037,0.09,417
5038,0.04,1163
5039,0.10,743
5040,0.05,385
5041,0.00,296
5042,0.03,501
5043,0.02,785
5045,0.03,1615
5046,0.05,792
5048,0.03,2072
5050,0.03,157
5051,0.08,1460
5052,0.08,186
5053,0.04,365
5055,0.01,2678
5056,0.08,397
5058,0.05,198
5059,0.00,595
5060,0.08,3680
5061,0.15,1282
5062,0.06,565
5065,0.07,928
5067,0.00,179
5068,0.05,2640
5069,0.06,488
5070,0.04,446
5071,0.00,374
5072,0.03,445
5075,0.04,905
5076,0.10,390
5077,0.04,945
5079,0.11,476
5081,0.07,414
5083,0.14,89
5084,0.00,55
5086,0.10,635
5089,0.12,4221
5091,0.03,2682
5101,0.12,4086
5141,0.00,61
5142,0.09,593
5143,0.06,3477
5146,0.08,560
5148,0.02,986
5149,0.06,1926
5150,0.00,765
5151,0.12,1097
5152,0.05,358
5153,0.05,560
5154,0.04,508
5155,0.06,506
5156,0.07,7467
5158,0.09,1068
5161,0.12,500
5201,0.08,11835
5250,0.05,3028
5251,0.06,1298
5252,0.06,262
5253,0.02,394
5254,0.00,313
5255,0.04,3382
5257,0.08,2310
5260,0.10,402
5261,0.05,2148
5262,0.08,2157
5301,0.07,13923
5340,0.06,506
5341,0.05,396
5342,0.02,469
5343,0.06,667
5345,0.06,1734
5346,0.06,3993
5350,0.01,641
